1527 0.5 7.4258 0.10055 0.10244
1530.1 0.5 5.4456 0.084797 0.085931
1530.1 0.5 3.7456 0.070685 0.072953
1533.1 0.5 2.1654 0.058337 0.060983
1530.1 0.5 0.94562 0.055817 0.058841
1557.5 0.5 0.32393 0.059723 0.062873
1847.1 0.5 2.5061 0.058211 0.061235
1935.5 0.5 2.0806 0.057707 0.060731
1996.4 0.5 1.4769 0.057203 0.060101
2097 0.5 1.1307 0.056573 0.059597
1877.6 0.5 2.2042 0.058589 0.061613
1770.9 0.5 2.7108 0.059471 0.062495
1618.5 0.5 3.7202 0.060731 0.063629
1746.5 0.5 1.3523 0.059345 0.062117
1764.8 0.5 1.4711 0.058967 0.061739
